Fecha,Hora,Edificio,InOctets (Mbps),OutOctets (Mbps),InErrors,OutErrors,Disponibilidad (%)
2026-04-29,08:00,Edificio A (UDIM),48.87,19.84,0.06,0.05,99.87
2026-04-29,08:00,Edificio L (Lab. de química general),80.24,32.76,4.47,3.58,91.05
2026-04-29,08:00,Edificio X (Lab. de Mecatrónica),88.20,35.17,5.04,4.03,89.92
2026-04-29,08:00,Edificio W (Lab. de industrial),57.73,22.42,2.52,2.01,94.97
2026-04-29,08:00,Edificio Q (Aulas Ciencias económico administrativas),68.66,28.70,0.90,0.72,98.20
2026-04-29,08:00,"Edificio O (Biblioteca, Centro de información, Gestión tecnológica y vinculación)",47.79,17.81,0.21,0.17,99.58
2026-04-29,08:00,"Edificio U (Sistemas y computación, Centro de cómputo)",58.47,23.85,0.16,0.13,99.68
2026-04-29,08:00,"Edificio N (Planta alta: Dirección, Subdirección de planeación y vinculación, Subdirección de servicios administrativos, Recursos financieros. Planta baja: Servicios escolares, Recursos humanos, Planeación, programación y presupuestación)",32.99,12.13,0.11,0.09,99.78
2026-04-29,08:00,"Edificio M (Subdirección académica, Desarrollo académico, División de estudios profesionales, División de estudios de posgrado e investigación)",31.00,11.43,0.16,0.13,99.68
2026-04-29,08:00,Edificio T (Lab. de eléctrica-electrónica),53.82,23.23,0.60,0.48,98.79
2026-04-29,08:00,"Edificio D (Lab. de química pesada, Lab. de electrónica, Planta Piloto de Bioetanol 2G)",50.98,21.61,0.24,0.19,99.52
2026-04-29,09:00,Edificio A (UDIM),52.78,21.10,0.14,0.11,99.73
2026-04-29,09:00,Edificio L (Lab. de química general),79.12,31.81,3.27,2.61,93.46
2026-04-29,09:00,Edificio X (Lab. de Mecatrónica),90.98,37.51,6.04,4.83,87.92
2026-04-29,09:00,Edificio W (Lab. de industrial),59.08,23.40,0.86,0.69,98.28
2026-04-29,09:00,Edificio Q (Aulas Ciencias económico administrativas),74.42,31.42,0.69,0.55,98.62
2026-04-29,09:00,"Edificio O (Biblioteca, Centro de información, Gestión tecnológica y vinculación)",47.70,17.24,0.13,0.11,99.73
