Fecha,Hora,Edificio,InOctets (Mbps),OutOctets (Mbps),InErrors,OutErrors,Disponibilidad (%)
2026-04-29,08:00,Edificio A (UDIM),52.87,22.26,0.20,0.16,99.61
2026-04-29,08:00,Edificio L (Lab. de química general),80.61,34.07,4.32,3.46,91.36
2026-04-29,08:00,Edificio X (Lab. de Mecatrónica),86.67,35.43,5.19,4.16,89.61
2026-04-29,08:00,Edificio W (Lab. de industrial),61.72,23.30,2.09,1.67,95.83
2026-04-29,08:00,Edificio Q (Aulas Ciencias económico administrativas),72.67,28.98,0.84,0.67,98.33
2026-04-29,08:00,"Edificio O (Biblioteca, Centro de información, Gestión tecnológica y vinculación)",45.31,18.52,0.36,0.29,99.28
2026-04-29,08:00,"Edificio U (Sistemas y computación, Centro de cómputo)",56.03,21.37,0.17,0.14,99.66
2026-04-29,08:00,"Edificio N (Planta alta: Dirección, Subdirección de planeación y vinculación, Subdirección de servicios administrativos, Recursos financieros. Planta baja: Servicios escolares, Recursos humanos, Planeación, programación y presupuestación)",25.35,10.25,0.05,0.04,99.89
2026-04-29,08:00,"Edificio M (Subdirección académica, Desarrollo académico, División de estudios profesionales, División de estudios de posgrado e investigación)",29.44,11.40,0.13,0.10,99.75
2026-04-29,08:00,Edificio T (Lab. de eléctrica-electrónica),50.94,19.52,0.29,0.23,99.41
2026-04-29,08:00,"Edificio D (Lab. de química pesada, Lab. de electrónica, Planta Piloto de Bioetanol 2G)",46.16,18.17,0.55,0.44,98.89
2026-04-29,09:00,Edificio A (UDIM),49.43,18.44,0.10,0.08,99.79
2026-04-29,09:00,Edificio L (Lab. de química general),81.35,32.15,2.96,2.36,94.09
2026-04-29,09:00,Edificio X (Lab. de Mecatrónica),91.94,34.94,7.91,6.33,85.00
2026-04-29,09:00,Edificio W (Lab. de industrial),62.29,23.31,2.84,2.28,94.31
2026-04-29,09:00,Edificio Q (Aulas Ciencias económico administrativas),72.84,30.85,0.82,0.66,98.36
2026-04-29,09:00,"Edificio O (Biblioteca, Centro de información, Gestión tecnológica y vinculación)",49.99,20.01,0.16,0.13,99.67
2026-04-29,09:00,"Edificio U (Sistemas y computación, Centro de cómputo)",55.66,23.64,0.21,0.16,99.59
2026-04-29,09:00,"Edificio N (Planta alta: Dirección, Subdirección de planeación y vinculación, Subdirección de servicios administrativos, Recursos financieros. Planta baja: Servicios escolares, Recursos humanos, Planeación, programación y presupuestación)",32.05,14.76,0.17,0.14,99.66
2026-04-29,09:00,"Edificio M (Subdirección académica, Desarrollo académico, División de estudios profesionales, División de estudios de posgrado e investigación)",25.70,11.08,0.15,0.12,99.70
2026-04-29,09:00,Edificio T (Lab. de eléctrica-electrónica),47.88,18.81,0.25,0.20,99.50
2026-04-29,09:00,"Edificio D (Lab. de química pesada, Lab. de electrónica, Planta Piloto de Bioetanol 2G)",51.05,19.01,0.39,0.31,99.22
2026-04-29,10:00,Edificio A (UDIM),54.92,20.34,0.19,0.15,99.63
2026-04-29,10:00,Edificio L (Lab. de química general),84.66,35.22,2.70,2.16,94.60
2026-04-29,10:00,Edificio X (Lab. de Mecatrónica),86.36,32.55,3.66,2.93,92.68
2026-04-29,10:00,Edificio W (Lab. de industrial),57.77,22.24,1.42,1.13,97.16
2026-04-29,10:00,Edificio Q (Aulas Ciencias económico administrativas),65.60,26.06,0.82,0.66,98.36
2026-04-29,10:00,"Edificio O (Biblioteca, Centro de información, Gestión tecnológica y vinculación)",45.26,17.82,0.28,0.22,99.44
2026-04-29,10:00,"Edificio U (Sistemas y computación, Centro de cómputo)",63.70,24.00,0.37,0.30,99.25
